namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
KOTA BANDA ACEH,E_FOTO WARNA_IRMAWAN_ACEH 1.jpg,Partai Kebangkitan Bangsa,28568,1,"H. IRMAWAN, S.Sos, MM",Laki-Laki
NAGAN RAYA,E_FOTO WARNA_SAYED MUSTAFA USAB AL IDROES_ACEH 1 (5).jpg,Partai Kebangkitan Bangsa,23123,2,SAYED MUSTAFA USAB AL IDROES,Laki-Laki
ACEH BESAR,E_FOTO_MAHDALENA_ACEH 1.jpg,Partai Kebangkitan Bangsa,28712,3,MAHDALENA,Perempuan
ACEH SELATAN,E_FOTO WARNA_T NASRUDDIN_ACEH 1.jpg,Partai Kebangkitan Bangsa,161680,4,T. NASRUDDIN,Laki-Laki
JAKARTA TIMUR,E_FOTO_KHAIRULLAH_ACEH 1.jpg,Partai Kebangkitan Bangsa,39274,5,KHAIRULLAH,Laki-Laki
ACEH BESAR,E_FOTO_IDAWATI_ACEH 1.jpg,Partai Kebangkitan Bangsa,28666,6,"IDAWATI, S.E",Perempuan
KOTA BANDA ACEH,E_foto warna_suharni bustami_Aceh 1_001.jpg,Partai Kebangkitan Bangsa,21246,7,"SUHARNI BUSTAMI, S.Pd",Perempuan
KOTA TANGERANG SELATAN,E-FOTO_MAHFUDZ_ACEH 2.jpg,Partai Kebangkitan Bangsa,293954,1,"MAHFUZD, SE",Laki-Laki
JAKARTA SELATAN,E_foto warna_sayuti abu bakar_aceh 2.jpg,Partai Kebangkitan Bangsa,22982,2,"SAYUTI, SH.MH",Laki-Laki
KOTA BANDA ACEH,E_foto warna_sri ariana ningsih_aceh 2.jpg,Partai Kebangkitan Bangsa,21284,3,SRI ARIANA NINGSIH,Perempuan
BIREUEN,FOTO 4X6 WARNA_001.jpg,Partai Kebangkitan Bangsa,300266,4,RUSLAN M. DAUD,Laki-Laki
ACEH BESAR,E-FOTO 4X6 WARNA_RAHMI ABDI_ACEH II - Copy.jpg,Partai Kebangkitan Bangsa,23192,5,RAHMI ABDI,Perempuan
ACEH BESAR,E-FOTO 4X6_FAISHAL RIDHA_ACEH II.JPG,Partai Kebangkitan Bangsa,37499,6,"FAISAL RIDHA, S.Ag., MM",Laki-Laki
JAKARTA SELATAN,E-FOTO WARNA 4X6_DITA INDAH SARI_SUMUT 1_001.jpg,Partai Kebangkitan Bangsa,213505,1,DITA INDAH SARI,Perempuan
GRESIK,E_PAS PHOTO 4X6_SAHRIL TUMANGGOR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21235,2,"SAHRIL TUMANGGOR, S.E., S.H., M.H.",Laki-Laki
KOTA MEDAN,E-FOTO 4X6_SYAFII SIREGAR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,44878,3,"DR. H. SYAFII SIREGAR, MA",Laki-Laki
KOTA MEDAN,E-PAS FOTO 4X6_H. HARUN_SUMUT 1.jpg,Partai Kebangkitan Bangsa,51902,4,"H. HARUN, SH, MH",Laki-Laki
JAKARTA TIMUR,E-Pas Photo 4X6_Mardiana Bugis_SUMUT 1.JPG,Partai Kebangkitan Bangsa,22414,5,"MARDIANA BUGIS, S.E",Perempuan
DELI SERDANG,E-FOTO 4X6_ABDUL MANAF_SUMUT 1.jpg,Partai Kebangkitan Bangsa,119071,6,"ABDUL MANAF, S.Pd.I",Laki-Laki
SERDANG BEDAGAI,E_Pas Photo 4x6_Dahril Asmy_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21191,7,"DAHRIL ASMY, S.T",Laki-Laki
