namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin,idPartai,idDapil,idPro
KOTA BANDA ACEH,E_FOTO WARNA_IRMAWAN_ACEH 1.jpg,Partai Kebangkitan Bangsa,28568,1,"H. IRMAWAN, S.Sos, MM",Laki-Laki,1,1,1
NAGAN RAYA,E_FOTO WARNA_SAYED MUSTAFA USAB AL IDROES_ACEH 1 (5).jpg,Partai Kebangkitan Bangsa,23123,2,SAYED MUSTAFA USAB AL IDROES,Laki-Laki,1,1,1
ACEH BESAR,E_FOTO_MAHDALENA_ACEH 1.jpg,Partai Kebangkitan Bangsa,28712,3,MAHDALENA,Perempuan,1,1,1
ACEH SELATAN,E_FOTO WARNA_T NASRUDDIN_ACEH 1.jpg,Partai Kebangkitan Bangsa,161680,4,T. NASRUDDIN,Laki-Laki,1,1,1
JAKARTA TIMUR,E_FOTO_KHAIRULLAH_ACEH 1.jpg,Partai Kebangkitan Bangsa,39274,5,KHAIRULLAH,Laki-Laki,1,1,1
ACEH BESAR,E_FOTO_IDAWATI_ACEH 1.jpg,Partai Kebangkitan Bangsa,28666,6,"IDAWATI, S.E",Perempuan,1,1,1
KOTA BANDA ACEH,E_foto warna_suharni bustami_Aceh 1_001.jpg,Partai Kebangkitan Bangsa,21246,7,"SUHARNI BUSTAMI, S.Pd",Perempuan,1,1,1
KOTA TANGERANG SELATAN,E-FOTO_MAHFUDZ_ACEH 2.jpg,Partai Kebangkitan Bangsa,293954,1,"MAHFUZD, SE",Laki-Laki,1,2,1
JAKARTA SELATAN,E_foto warna_sayuti abu bakar_aceh 2.jpg,Partai Kebangkitan Bangsa,22982,2,"SAYUTI, SH.MH",Laki-Laki,1,2,1
KOTA BANDA ACEH,E_foto warna_sri ariana ningsih_aceh 2.jpg,Partai Kebangkitan Bangsa,21284,3,SRI ARIANA NINGSIH,Perempuan,1,2,1
BIREUEN,FOTO 4X6 WARNA_001.jpg,Partai Kebangkitan Bangsa,300266,4,RUSLAN M. DAUD,Laki-Laki,1,2,1
ACEH BESAR,E-FOTO 4X6 WARNA_RAHMI ABDI_ACEH II - Copy.jpg,Partai Kebangkitan Bangsa,23192,5,RAHMI ABDI,Perempuan,1,2,1
ACEH BESAR,E-FOTO 4X6_FAISHAL RIDHA_ACEH II.JPG,Partai Kebangkitan Bangsa,37499,6,"FAISAL RIDHA, S.Ag., MM",Laki-Laki,1,2,1
JAKARTA SELATAN,E-FOTO WARNA 4X6_DITA INDAH SARI_SUMUT 1_001.jpg,Partai Kebangkitan Bangsa,213505,1,DITA INDAH SARI,Perempuan,1,3,6728
GRESIK,E_PAS PHOTO 4X6_SAHRIL TUMANGGOR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21235,2,"SAHRIL TUMANGGOR, S.E., S.H., M.H.",Laki-Laki,1,3,6728
KOTA MEDAN,E-FOTO 4X6_SYAFII SIREGAR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,44878,3,"DR. H. SYAFII SIREGAR, MA",Laki-Laki,1,3,6728
KOTA MEDAN,E-PAS FOTO 4X6_H. HARUN_SUMUT 1.jpg,Partai Kebangkitan Bangsa,51902,4,"H. HARUN, SH, MH",Laki-Laki,1,3,6728
JAKARTA TIMUR,E-Pas Photo 4X6_Mardiana Bugis_SUMUT 1.JPG,Partai Kebangkitan Bangsa,22414,5,"MARDIANA BUGIS, S.E",Perempuan,1,3,6728
DELI SERDANG,E-FOTO 4X6_ABDUL MANAF_SUMUT 1.jpg,Partai Kebangkitan Bangsa,119071,6,"ABDUL MANAF, S.Pd.I",Laki-Laki,1,3,6728
SERDANG BEDAGAI,E_Pas Photo 4x6_Dahril Asmy_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21191,7,"DAHRIL ASMY, S.T",Laki-Laki,1,3,6728
KOTA MEDAN,E_PAS PHOTO 4X6_ZAKARIA LUBIS_SUMUT 1.jpg,Partai Kebangkitan Bangsa,214624,8,"Dr. ZAKARIA LUBIS, S.Fil.I, MA.Hum",Laki-Laki,1,3,6728
KOTA MEDAN,E_PAS PHOTO 4X6_RINA YUGO KASNI_SUMUT 1.jpg,Partai Kebangkitan Bangsa,22673,9,"RINA YUGO KASNI, S,Pd, S.E, M.M",Perempuan,1,3,6728
KOTA BINJAI,E-foto 4x6_DELLY MAHFUZAR_SUMUT 1.JPG,Partai Kebangkitan Bangsa,124770,10,DELLY MAHFUZAR,Laki-Laki,1,3,6728
DELI SERDANG,E_POTO WARNA_MARWAN DASOPANG_SUMUT 2.jpg,Partai Kebangkitan Bangsa,22945,1,MARWAN DASOPANG,Laki-Laki,1,4,6728
KOTA MEDAN,E-POTO_ANDRI ISMAIL PUITA NASUTION_SUMUT2.jpeg,Partai Kebangkitan Bangsa,29347,2,ANDRI ISMAIL PUTRA NASUTION,Laki-Laki,1,4,6728
BEKASI,E-POTO_EPRI WAHDIYAH NASUTION_SUMUT2.jpg,Partai Kebangkitan Bangsa,26042,3,"EPRI WAHDIYAH NASUTION, S.Ag",Perempuan,1,4,6728
KOTA MEDAN,E-POTO 4X6_ASMADI LUBIS_SUMUT2.jpeg,Partai Kebangkitan Bangsa,106648,4,"ASMADI LUBIS, S.H,M.Kn",Laki-Laki,1,4,6728
JAKARTA TIMUR,E-Foto_Junjungan Gogo_sumut II.jpeg,Partai Kebangkitan Bangsa,22964,5,"JUNJUNGAN GOGO MANURUNG, S.E., M.M",Laki-Laki,1,4,6728
MANDAILING NATAL,E-FOTO_SYAFRIDA AYUDHIA.JPG,Partai Kebangkitan Bangsa,29303,6,SYAFRIDA AYUDHIA,Perempuan,1,4,6728
LABUHANBATU SELATAN,E-POTO_LINA HUTAGALUNG_SUMUT2.jpg,Partai Kebangkitan Bangsa,52447,7,LINA HUTAGALUNG,Perempuan,1,4,6728
JAKARTA BARAT,E-poto_CANRA KRISNA JAYA_SUMUT2.jpg,Partai Kebangkitan Bangsa,39574,8,"CANRA KRISNA JAYA, S.Sos.I. MA.Hum",Laki-Laki,1,4,6728
KOTA TANGERANG SELATAN,E-POTO_Raidong Habibi Rambe_SUMUT2.jpg,Partai Kebangkitan Bangsa,39503,9,"RAIDONG HABIBI RAMBE, S.Fil.I",Laki-Laki,1,4,6728
PADANG LAWAS UTARA,E-POTO_H. Amran Saleh Siregar_SUMUT2.jpg,Partai Kebangkitan Bangsa,25618,10,H.AMRAN SALEH SIREGAR,Laki-Laki,1,4,6728
JAKARTA PUSAT,E-FOTO_RAZMAN ARIF_SUMUT III.jpg,Partai Kebangkitan Bangsa,29434,1,RAZMAN ARIF,Laki-Laki,1,5,6728
KOTA MEDAN,E-PAS PHOTO 4X6_IMRAN MUCHTAR_SUMUT III.jpeg,Partai Kebangkitan Bangsa,69105,2,"IMRAN MUCHTAR, BSC, SH",Laki-Laki,1,5,6728
JAKARTA SELATAN,E-FOTO_DAMAI YONA NAINGGOLAN_SUMUT III.jpg,Partai Kebangkitan Bangsa,22585,3,DAMAI YONA NAINGGOLAN,Perempuan,1,5,6728
