namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin,idPartai,idDapil,idPro
KOTA PEKANBARU,1X 18Rok.jpg,Partai Kebangkitan Bangsa,87854,1,"Dr. H. M. RAMLI, SE.,MSi",Laki-Laki,1,111,14086
KOTA PEKANBARU,5r.jpg,Partai Kebangkitan Bangsa,87733,2,"H. ZAIDIR ALBAIZA, SH.,MH",Laki-Laki,1,111,14086
KOTA PEKANBARU,PAS FOTO YULIA DESIWATI.jpg,Partai Kebangkitan Bangsa,101249,3,YULIA DESIWATI,Perempuan,1,111,14086
KOTA PEKANBARU,1. FOTO 4 X 6.jpg,Partai Kebangkitan Bangsa,49289,4,"H. M. YUSUF, SH.,MH",Laki-Laki,1,111,14086
KOTA PEKANBARU,DSC_7424__ok.jpg,Partai Kebangkitan Bangsa,50186,5,"Drs. H. YUSFAR, MH",Laki-Laki,1,111,14086
KOTA PEKANBARU,PAS FOTO ERMA SRI MELYATI.jpg,Partai Kebangkitan Bangsa,127583,6,"ERMA SRI MELYANTI, S.Pd",Perempuan,1,111,14086
KOTA PEKANBARU,pas photo.jpg,Partai Kebangkitan Bangsa,49895,7,"CANDRA SAHPUTRA, SH",Laki-Laki,1,111,14086
KOTA PEKANBARU,IMG_0890 copy.jpg,Partai Kebangkitan Bangsa,270359,8,"SARI LISNAETI, ST",Perempuan,1,111,14086
KOTA PEKANBARU,3 4x6 Warna.jpg,Partai Kebangkitan Bangsa,50402,9,"H. MAS'UD, S.Pd, M.Pd",Laki-Laki,1,111,14086
KOTA PEKANBARU,PAS FOTO ADRIAS.jpg,Partai Kebangkitan Bangsa,90861,1,Dra. Hj.. ADRIAS,Perempuan,1,112,14086
KAMPAR,SUHARMI.jpg,Partai Kebangkitan Bangsa,146786,2,"SUHARMI, SH",Laki-Laki,1,112,14086
KAMPAR,photo MUJAHIDIN EL MUCHY.jpg,Partai Kebangkitan Bangsa,113570,3,"MUJAHIDIN EL MUCHY, SPdI",Laki-Laki,1,112,14086
KOTA PEKANBARU,PAS FOTO ABDUL MALIK.jpg,Partai Kebangkitan Bangsa,50639,4,"ABDUL MALIK, SPdI",Laki-Laki,1,112,14086
KOTA PEKANBARU,PAS FOTO SUPRIANTO.jpg,Partai Kebangkitan Bangsa,199243,5,SUPRIANTO S,Laki-Laki,1,112,14086
KOTA PEKANBARU,PAS FOTO ANNA PUTRI.jpg,Partai Kebangkitan Bangsa,148341,6,ANNA PUTRI,Perempuan,1,112,14086
KOTA PEKANBARU,IMG_0294.JPG,Partai Kebangkitan Bangsa,293898,7,"RAHIMI, S.Psi",Laki-Laki,1,112,14086
KOTA PEKANBARU,PAS FOTO RISKA PUTRI WIDIASTUTI.jpg,Partai Kebangkitan Bangsa,113865,8,RISKA PUTRI WIDIASTUTI,Perempuan,1,112,14086
KOTA PEKANBARU,PAS FOTO HAFITH SYUKRI.jpg,Partai Kebangkitan Bangsa,88084,1,"Ir. H. HAFITH SYUKRI, MM",Laki-Laki,1,113,14086
ROKAN HULU,DSC_0672 copy.jpg,Partai Kebangkitan Bangsa,88372,2,"RENI GUSRITA, SHI",Perempuan,1,113,14086
ROKAN HULU,DSC_3214___merahok.jpg,Partai Kebangkitan Bangsa,171532,3,"AHMAD DAMYATI, SH",Laki-Laki,1,113,14086
ROKAN HULU,PHOTO.jpg,Partai Kebangkitan Bangsa,205284,4,"ALI USMAN, S.Pi., M.Si",Laki-Laki,1,113,14086
ROKAN HULU,PAS FOTO RIA HARTINI.jpg,Partai Kebangkitan Bangsa,152111,5,RIA HARTINI,Perempuan,1,113,14086
ROKAN HULU,PAS FOTO GADING MARWADI.jpg,Partai Kebangkitan Bangsa,150748,6,"GADING MARWADI, ST",Laki-Laki,1,113,14086
ROKAN HILIR,PAS FOTO FIRDAUS.jpg,Partai Kebangkitan Bangsa,114868,1,"FIRDAUS, S.Ag",Laki-Laki,1,114,14086
ROKAN HILIR,FOTO.jpg,Partai Kebangkitan Bangsa,99254,2,ABU KHOIRI,Laki-Laki,1,114,14086
KOTA PEKANBARU,PAS FOTO ENDAH PURWANI SARI.jpg,Partai Kebangkitan Bangsa,172208,3,"ENDAH PURWANI SARI, SST, M.Kes",Perempuan,1,114,14086
ROKAN HILIR,"H. RUSLAN. MD, S.Pd.I, MM.jpg",Partai Kebangkitan Bangsa,172308,4,"RUSLAN MD, S.Pd.I, MM",Laki-Laki,1,114,14086
KOTA PEKANBARU,DSC_1836.JPG,Partai Kebangkitan Bangsa,294017,5,JULI INDRASARI,Perempuan,1,114,14086
ROKAN HILIR,PAS FOTO.jpg,Partai Kebangkitan Bangsa,133599,6,NORMA SARI,Perempuan,1,114,14086
ROKAN HILIR,1.JPG,Partai Kebangkitan Bangsa,110420,7,"Drs. JAMARIS, SPd",Laki-Laki,1,114,14086
BENGKALIS,PAS FOTO MISLIADI.jpg,Partai Kebangkitan Bangsa,201474,1,"MISLIADI, SH.I",Laki-Laki,1,115,14086
KOTA DUMAI,3. PAS FOTO 4X6 WARNA.jpg,Partai Kebangkitan Bangsa,98636,2,SOLIHIN DAHLAN,Laki-Laki,1,115,14086
KAMPAR,DSC_0009 copy.jpg,Partai Kebangkitan Bangsa,110914,3,HJ. NURAIDA,Perempuan,1,115,14086
BENGKALIS,PAS FOTO .jpg,Partai Kebangkitan Bangsa,101635,4,MC. KENDRO,Laki-Laki,1,115,14086
KEPULAUAN MERANTI,"PAS FOTO H. MUHAMMAD ADIL, S.H.jpg",Partai Kebangkitan Bangsa,173019,5,"H. MUHAMMAD ADIL, SH",Laki-Laki,1,115,14086
KOTA DUMAI,PAS FOTO DWI SHANTY JENIFER.jpg,Partai Kebangkitan Bangsa,171833,6,"DWI SHANTY JENIFER, A.Md,Keb",Perempuan,1,115,14086
BENGKALIS,4x6 (2).jpg,Partai Kebangkitan Bangsa,110263,7,SYAFRIL NALDI. NK,Laki-Laki,1,115,14086
KEPULAUAN MERANTI,3. PAS FOTO 4X6 WARNA (2).jpg,Partai Kebangkitan Bangsa,110332,8,ZULKIFLI,Laki-Laki,1,115,14086
KEPULAUAN MERANTI,PAS FOTO ASMINARTI.jpg,Partai Kebangkitan Bangsa,100808,9,ASMINARTI,Perempuan,1,115,14086
BENGKALIS,PAS FOTO ROFIALIS.jpg,Partai Kebangkitan Bangsa,101746,10,ROFIALIS,Perempuan,1,115,14086
KEPULAUAN MERANTI,PAS FOTO ROBBY.jpg,Partai Kebangkitan Bangsa,110493,11,ROBBY FEBRINA,Laki-Laki,1,115,14086
PELALAWAN,PAS FOTO SUGIANTO.jpg,Partai Kebangkitan Bangsa,101029,1,H. SUGIANTO,Laki-Laki,1,116,14086
KOTA PEKANBARU,5R 1X - 4X6 4 BW - 3X4 4 WR.jpg,Partai Kebangkitan Bangsa,110189,2,"TENGKU AZRIWARDI, ST",Laki-Laki,1,116,14086
KOTA PEKANBARU,5r.jpg,Partai Kebangkitan Bangsa,112447,3,MISNAWATI,Perempuan,1,116,14086
KOTA PEKANBARU,PAS FOTO DEWI SARTIKA.jpg,Partai Kebangkitan Bangsa,99054,4,"DEWI SARTIKA, SE",Perempuan,1,116,14086
PELALAWAN,PAS FOTO SRI AYU NINGSIH.jpg,Partai Kebangkitan Bangsa,171528,5,SRI HAYUNINGSIH,Perempuan,1,116,14086
PELALAWAN,PAS FOTO AFDAL.jpg,Partai Kebangkitan Bangsa,171829,6,AFDAL,Laki-Laki,1,116,14086
SIAK,PAS FOTO SUGIANTO.jpg,Partai Kebangkitan Bangsa,147128,7,H. SUGIYANTO,Laki-Laki,1,116,14086
INDRAGIRI HILIR,Foto Dani M.Nursalam.jpg,Partai Kebangkitan Bangsa,96487,1,"H. DANI M.NURSALAM, S.Pi., M.Si",Laki-Laki,1,117,14086
INDRAGIRI HILIR,Foto Zulfadli.JPG,Partai Kebangkitan Bangsa,96400,2,"ZULFADLI, S.HI",Laki-Laki,1,117,14086
INDRAGIRI HILIR,Foto Muslihatul Badriyah.JPG,Partai Kebangkitan Bangsa,96047,3,"MUSLIHATUL BADRIYAH, S.Pd",Perempuan,1,117,14086
INDRAGIRI HILIR,Foto Ahmad Kamera.jpg,Partai Kebangkitan Bangsa,201191,4,AHMAD KAMERA,Laki-Laki,1,117,14086
INDRAGIRI HILIR,PAS FOTO .jpg,Partai Kebangkitan Bangsa,90240,5,"ZULKARNAIN, SE",Laki-Laki,1,117,14086
INDRAGIRI HILIR,Foto Rida Ayu Agustina.JPG,Partai Kebangkitan Bangsa,96172,6,"RIDA AYU AGUSTINA, S.Pd",Perempuan,1,117,14086
INDRAGIRI HILIR,Foto Muhammad Guntur.jpg,Partai Kebangkitan Bangsa,108170,7,"MUHAMMAD GUNTUR, SE",Laki-Laki,1,117,14086
INDRAGIRI HILIR,Foto.JPG,Partai Kebangkitan Bangsa,96310,8,NELLY HERAWATI,Perempuan,1,117,14086
KOTA PEKANBARU,Ade-3.jpg,Partai Kebangkitan Bangsa,101455,1,"ADE AGUS HARTANTO, S.Sos",Laki-Laki,1,118,14086
INDRAGIRI HULU,PAS FOTO YESI HARIAN WENDA.jpg,Partai Kebangkitan Bangsa,112609,2,"YESI HARIAN WENDA, M.Kom",Perempuan,1,118,14086
