id,nama,tingkat,jumlahPenduduk,idWilayah,createdBy,createdAt,updatedAt,totalAlokasiKursi,idVersi,noDapil,statusCoterminous
1,ACEH I,0,-1,1,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,70,1,True
2,ACEH II,0,-1,1,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,70,2,True
3,SUMATERA UTARA I,0,-1,6728,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,71,1,True
4,SUMATERA UTARA II,0,-1,6728,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,71,2,True
5,SUMATERA UTARA III,0,-1,6728,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,71,3,True
6,SUMATERA BARAT I,0,-1,12920,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,72,1,True
7,SUMATERA BARAT II,0,-1,12920,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,72,2,True
8,RIAU I,0,-1,14086,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,73,1,True
9,RIAU II,0,-1,14086,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,73,2,True
10,JAMBI,0,-1,15885,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,74,1,True
11,SUMATERA SELATAN I,0,-1,17404,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,75,1,True
12,SUMATERA SELATAN II,0,-1,17404,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,75,2,True
13,BENGKULU,0,-1,20802,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",4,76,1,True
14,LAMPUNG I,0,-1,22328,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,77,1,True
15,LAMPUNG II,0,-1,22328,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,77,2,True
17,KEPULAUAN RIAU,0,-1,25405,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",4,79,1,True
21,JAWA BARAT I,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,81,1,True
22,JAWA BARAT II,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,81,2,True
23,JAWA BARAT III,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,81,3,True
24,JAWA BARAT IV,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,81,4,True
25,JAWA BARAT V,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,81,5,True
26,JAWA BARAT VI,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,81,6,True
27,JAWA BARAT VII,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,81,7,True
28,JAWA BARAT VIII,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,81,8,True
29,JAWA BARAT IX,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,81,9,True
30,JAWA BARAT X,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,81,10,True
31,JAWA BARAT XI,0,-1,26141,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,81,11,True
16,KEPULAUAN BANGKA BELITUNG,0,-1,24993,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",3,78,1,True
18,DKI JAKARTA I,0,-1,25823,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,80,1,True
19,DKI JAKARTA II,0,-1,25823,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,80,2,True
20,DKI JAKARTA III,0,-1,25823,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,80,3,True
32,JAWA TENGAH I,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,82,1,True
33,JAWA TENGAH II,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,82,2,True
34,JAWA TENGAH III,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,82,3,True
35,JAWA TENGAH IV,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,82,4,True
36,JAWA TENGAH V,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,82,5,True
37,JAWA TENGAH VI,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,82,6,True
38,JAWA TENGAH VII,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,82,7,True
39,JAWA TENGAH VIII,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,82,8,True
40,JAWA TENGAH IX,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,82,9,True
41,JAWA TENGAH X,0,-1,32676,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,82,10,True
42,DAERAH ISTIMEWA YOGYAKARTA,0,-1,41863,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,83,1,True
43,JAWA TIMUR I,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,84,1,True
44,JAWA TIMUR II,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,84,2,True
45,JAWA TIMUR III,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",7,84,3,True
46,JAWA TIMUR IV,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,84,4,True
47,JAWA TIMUR V,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,84,5,True
48,JAWA TIMUR VI,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,84,6,True
49,JAWA TIMUR VII,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,84,7,True
50,JAWA TIMUR VIII,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,84,8,True
51,JAWA TIMUR IX,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,84,9,True
52,JAWA TIMUR X,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,84,10,True
53,JAWA TIMUR XI,0,-1,42385,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",8,84,11,True
54,BANTEN I,0,-1,51578,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,85,1,True
55,BANTEN II,0,-1,51578,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",6,85,2,True
56,BANTEN III,0,-1,51578,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",10,85,3,True
57,BALI,0,-1,53241,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",9,86,1,True
58,NUSA TENGGARA BARAT I,0,-1,54020,superadmin,"Jan 22, 2018 1:16:36 PM","Jan 22, 2018 1:16:36 PM",3,87,1,True
