id,nama,parent,tingkat,jumlahPenduduk,alokasiKursi,sisaPenduduk,peringkatPenduduk,alokasiSisaKursi,idWilayah,createdBy,createdAt,updatedBy,updatedAt,totalAlokasiKursi,idVersi,noDapil,statusCoterminous,idPro
2724,ACEH SELATAN 1,-1,2,41389,5,3014,4,0,2,hafizh,"Dec 31, 2017 10:36:27 AM",hafizh,"Dec 31, 2017 10:36:27 AM",5,739,1,False,1
2725,ACEH SELATAN 2,-1,2,36769,4,6069,2,1,2,hafizh,"Dec 31, 2017 10:36:27 AM",hafizh,"Dec 31, 2017 10:36:27 AM",5,739,2,False,1
2726,ACEH SELATAN 3,-1,2,40020,5,1645,5,0,2,hafizh,"Dec 31, 2017 10:36:27 AM",hafizh,"Dec 31, 2017 10:36:27 AM",5,739,3,False,1
2727,ACEH SELATAN 4,-1,2,74338,9,5263,3,1,2,hafizh,"Dec 31, 2017 10:36:27 AM",hafizh,"Dec 31, 2017 10:36:27 AM",10,739,4,False,1
2728,ACEH SELATAN 5,-1,2,37738,4,7038,1,1,2,hafizh,"Dec 31, 2017 10:36:27 AM",hafizh,"Dec 31, 2017 10:36:27 AM",5,739,5,False,1
1951,ACEH TENGGARA 1,-1,2,55972,7,4249,2,1,269,galuh,"Dec 31, 2017 6:51:25 PM",galuh,"Dec 31, 2017 6:51:25 PM",8,550,1,False,1
1952,ACEH TENGGARA 2,-1,2,38982,5,2037,4,0,269,galuh,"Dec 31, 2017 6:51:25 PM",galuh,"Dec 31, 2017 6:51:25 PM",5,550,2,False,1
1953,ACEH TENGGARA 3,-1,2,34781,4,5225,1,1,269,galuh,"Dec 31, 2017 6:51:25 PM",galuh,"Dec 31, 2017 6:51:25 PM",5,550,3,False,1
1954,ACEH TENGGARA 4,-1,2,52198,7,475,5,0,269,galuh,"Dec 31, 2017 6:51:25 PM",galuh,"Dec 31, 2017 6:51:25 PM",7,550,4,False,1
1955,ACEH TENGGARA 5,-1,2,39751,5,2806,3,0,269,galuh,"Dec 31, 2017 6:51:25 PM",galuh,"Dec 31, 2017 6:51:25 PM",5,550,5,False,1
5560,ACEH TIMUR 1,-1,2,83801,7,9909,1,1,671,vici,"Dec 31, 2017 3:30:36 PM",hafizh,"Dec 31, 2017 2:14:43 PM",8,1347,1,False,1
5561,ACEH TIMUR 2,-1,2,116803,11,687,4,0,671,vici,"Dec 31, 2017 3:30:36 PM",hafizh,"Dec 31, 2017 2:14:43 PM",11,1347,2,False,1
