id,nama,tingkat,jumlahPenduduk,idWilayah,createdBy,createdAt,updatedAt,totalAlokasiKursi,idVersi,noDapil,statusCoterminous,idPro
81,ACEH 1,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",11,123,1,True,1
82,ACEH 2,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",9,123,2,True,1
83,ACEH 3,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",7,123,3,True,1
84,ACEH 4,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",6,123,4,True,1
85,ACEH 5,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",12,123,5,True,1
86,ACEH 6,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",6,123,6,True,1
87,ACEH 7,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",7,123,7,True,1
88,ACEH 8,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",5,123,8,True,1
89,ACEH 9,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",9,123,9,True,1
90,ACEH 10,1,-1,1,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",9,123,10,True,1
91,SUMATERA UTARA  1,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",10,124,1,True,6728
92,SUMATERA UTARA  2,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",7,124,2,True,6728
93,SUMATERA UTARA  3,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",12,124,3,True,6728
94,SUMATERA UTARA  4,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",5,124,4,True,6728
95,SUMATERA UTARA  5,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",10,124,5,True,6728
96,SUMATERA UTARA  6,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",8,124,6,True,6728
97,SUMATERA UTARA  7,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",10,124,7,True,6728
98,SUMATERA UTARA  8,1,-1,6728,superadmin,"Jan 22, 2018 3:42:27 PM","Jan 22, 2018 3:42:27 PM",6,124,8,True,6728
