id,nomorUrut,namaPartai,keterangan,akronimParpol,logo
1,1,PARTAI KEBANGKITAN BANGSA,NASIONAL,PKB,/silon/dpr/logo-partai/logo PKB.jpeg
2,2,PARTAI GERAKAN INDONESIA RAYA,NASIONAL,Gerindra,/silon/dpr/logo-partai/LAMBANG PARTAI GERINDRA 10x10 cm.jpg
3,3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,NASIONAL,PDIP,/silon/dpr/logo-partai/LOGO KPU.jpg
4,4,PARTAI GOLONGAN KARYA,NASIONAL,Golkar,/silon/dpr/logo-partai/Logo Partai GOLKAR (Ukuran 10x10cm).jpg
5,5,PARTAI NASDEM,NASIONAL,Nasdem,/silon/dpr/logo-partai/LAMBANG'.jpg
6,6,PARTAI GERAKAN PERUBAHAN INDONESIA,NASIONAL,Garuda,/silon/dpr/logo-partai/Logo-Partai-Garuda.jpg
7,7,PARTAI BERKARYA,NASIONAL,Berkarya,/silon/dpr/logo-partai/Logo PARTAI BERKARYA.jpg
8,8,PARTAI KEADILAN SEJAHTERA,NASIONAL,PKS,/silon/dpr/logo-partai/Logo PKS (2013) w bg (bigger).jpg
9,9,PERSATUAN INDONESIA,NASIONAL,Perindo,/silon/dpr/logo-partai/LOGO PARTAI PERINDO.JPG
10,10,PARTAI PERSATUAN PEMBANGUNAN,NASIONAL,PPP,/silon/dpr/logo-partai/IMG-20171014-WA0000.jpg
11,11,PARTAI SOLIDARITAS INDONESIA,NASIONAL,PSI,/silon/dpr/logo-partai/logo-utama-psi_SD.jpeg
12,12,PARTAI AMANAT NASIONAL,NASIONAL,PAN,/silon/dpr/logo-partai/LOGO PAN-KPU 10X10.jpg
13,13,PARTAI HATI NURANI RAKYAT,NASIONAL,Hanura,/silon/dpr/logo-partai/BENDERA HANURA.jpg
14,14,PARTAI DEMOKRAT,NASIONAL,Demokrat,/silon/dpr/logo-partai/1631506-logo-demokrat-620X310-620x310.jpg
15,15,PARTAI ACEH,LOKALACEH,Partai Aceh,/silon/dpr/logo-partai/Lambang Partai.jpg
16,16,PARTAI SIRA,LOKALACEH,Partai SIRA,/silon/dpr/logo-partai/Logo SIRA RGB.jpg
17,17,PARTAI DAERAH ACEH,LOKALACEH,Partai Daerah Aceh,/silon/dpr/logo-partai/lambang_pdaceh.jpg
18,18,PARTAI NANGGROE ACEH,LOKALACEH,Partai Nangroe Aceh,/silon/dpr/logo-partai/lambang.jpg
19,19,PARTAI BULAN BINTANG,NASIONAL,PBB,/silon/dpr/logo-partai/logo PBB.jpg
20,20,PARTAI KEADILAN DAN PERSATUAN INDONESIA,NASIONAL,PKPI,/silon/dpr/logo-partai/Logo PKPI.jpg
