idWilayah,idParent,namaWilayah,tingkatWilayah,kodePro,kodeKab,kodeKec,kodeKel,domainName,idPro,namaPro
1,0,ACEH,1,11,1100,110000,1100000000,acehprov,1,ACEH
6728,0,SUMATERA UTARA,1,12,1200,120000,1200000000,sumutprov,6728,SUMATERA UTARA
12920,0,SUMATERA BARAT,1,13,1300,130000,1300000000,sumbarprov,12920,SUMATERA BARAT
14086,0,RIAU,1,14,1400,140000,1400000000,riauprov,14086,RIAU
15885,0,JAMBI,1,15,1500,150000,1500000000,jambiprov,15885,JAMBI
17404,0,SUMATERA SELATAN,1,16,1600,160000,1600000000,sumselprov,17404,SUMATERA SELATAN
20802,0,BENGKULU,1,17,1700,170000,1700000000,bengkuluprov,20802,BENGKULU
22328,0,LAMPUNG,1,18,1800,180000,1800000000,lampungprov,22328,LAMPUNG
25405,0,KEPULAUAN RIAU,1,21,2100,210000,2100000000,kepriprov,25405,KEPULAUAN RIAU
26141,0,JAWA BARAT,1,32,3200,320000,3200000000,jabarprov,26141,JAWA BARAT
24993,0,KEPULAUAN BANGKA BELITUNG,1,19,1900,190000,1900000000,babelprov,24993,KEPULAUAN BANGKA BELITUNG
25823,0,DKI JAKARTA,1,31,3100,310000,3100000000,jakartaprov,25823,DKI JAKARTA
32676,0,JAWA TENGAH,1,33,3300,330000,3300000000,jatengprov,32676,JAWA TENGAH
41863,0,DAERAH ISTIMEWA YOGYAKARTA,1,34,3400,340000,3400000000,yogyakartaprov,41863,DAERAH ISTIMEWA YOGYAKARTA
42385,0,JAWA TIMUR,1,35,3500,350000,3500000000,jatimprov,42385,JAWA TIMUR
51578,0,BANTEN,1,36,3600,360000,3600000000,bantenprov,51578,BANTEN
53241,0,BALI,1,51,5100,510000,5100000000,baliprov,53241,BALI
54020,0,NUSA TENGGARA BARAT,1,52,5200,520000,5200000000,ntbprov,54020,NUSA TENGGARA BARAT
55065,0,NUSA TENGGARA TIMUR,1,53,5300,530000,5300000000,nttprov,55065,NUSA TENGGARA TIMUR
58285,0,KALIMANTAN BARAT,1,61,6100,610000,6100000000,kalbarprov,58285,KALIMANTAN BARAT
60371,0,KALIMANTAN TENGAH,1,62,6200,620000,6200000000,kaltengprov,60371,KALIMANTAN TENGAH
61965,0,KALIMANTAN SELATAN,1,63,6300,630000,6300000000,kalselprov,61965,KALIMANTAN SELATAN
64111,0,KALIMANTAN TIMUR,1,64,6400,640000,6400000000,kaltimprov,64111,KALIMANTAN TIMUR
65702,0,SULAWESI UTARA,1,71,7100,710000,7100000000,sulutprov,65702,SULAWESI UTARA
67393,0,SULAWESI TENGAH,1,72,7200,720000,7200000000,sultengprov,67393,SULAWESI TENGAH
69268,0,SULAWESI SELATAN,1,73,7300,730000,7300000000,sulselprov,69268,SULAWESI SELATAN
72551,0,SULAWESI TENGGARA,1,74,7400,740000,7400000000,sultraprov,72551,SULAWESI TENGGARA
74716,0,GORONTALO,1,75,7500,750000,7500000000,gorontaloprov,74716,GORONTALO
75425,0,SULAWESI BARAT,1,76,7600,760000,7600000000,sulbarprov,75425,SULAWESI BARAT
76096,0,MALUKU,1,81,8100,810000,8100000000,malukuprov,76096,MALUKU
77085,0,MALUKU UTARA,1,82,8200,820000,8200000000,malukuutaraprov,77085,MALUKU UTARA
78203,0,PAPUA,1,91,9100,910000,9100000000,papuaprov,78203,PAPUA
81877,0,PAPUA BARAT,1,92,9200,920000,9200000000,papuabaratprov,81877,PAPUA BARAT
928068,0,KALIMANTAN UTARA,1,65,6500,650000,6500000000,kaltaraprov,928068,KALIMANTAN UTARA
