idWilayah,idParent,namaWilayah,tingkatWilayah,kodePro,kodeKab,kodeKec,kodeKel,domainName,idPro,idKab,namaPro,namaKab
2,1,ACEH SELATAN,2,11,1101,110100,1101000000,acehselatankab,1,2,ACEH,ACEH SELATAN
269,1,ACEH TENGGARA,2,11,1102,110200,1102000000,acehtenggarakab,1,269,ACEH,ACEH TENGGARA
671,1,ACEH TIMUR,2,11,1103,110300,1103000000,acehtimurkab,1,671,ACEH,ACEH TIMUR
1207,1,ACEH TENGAH,2,11,1104,110400,1104000000,acehtengahkab,1,1207,ACEH,ACEH TENGAH
1492,1,ACEH BARAT,2,11,1105,110500,1105000000,acehbaratkab,1,1492,ACEH,ACEH BARAT
1824,1,ACEH BESAR,2,11,1106,110600,1106000000,acehbesarkab,1,1824,ACEH,ACEH BESAR
2452,1,PIDIE,2,11,1107,110700,1107000000,pidiekab,1,2452,ACEH,PIDIE
3205,1,ACEH UTARA,2,11,1108,110800,1108000000,acehutarakab,1,3205,ACEH,ACEH UTARA
4086,1,SIMEULUE,2,11,1109,110900,1109000000,simeuluekab,1,4086,ACEH,SIMEULUE
4233,1,ACEH SINGKIL,2,11,1110,111000,1110000000,acehsingkilkab,1,4233,ACEH,ACEH SINGKIL
4362,1,BIREUEN,2,11,1111,111100,1111000000,bireuenkab,1,4362,ACEH,BIREUEN
4989,1,ACEH BARAT DAYA,2,11,1112,111200,1112000000,acehbaratdayakab,1,4989,ACEH,ACEH BARAT DAYA
5138,1,GAYO LUES,2,11,1113,111300,1113000000,gayolueskab,1,5138,ACEH,GAYO LUES
5286,1,ACEH JAYA,2,11,1114,111400,1114000000,acehjayakab,1,5286,ACEH,ACEH JAYA
5463,1,NAGAN RAYA,2,11,1115,111500,1115000000,naganrayakab,1,5463,ACEH,NAGAN RAYA
5694,1,ACEH TAMIANG,2,11,1116,111600,1116000000,acehtamiangkab,1,5694,ACEH,ACEH TAMIANG
5920,1,BENER MERIAH,2,11,1117,111700,1117000000,benermeriahkab,1,5920,ACEH,BENER MERIAH
6166,1,PIDIE JAYA,2,11,1118,111800,1118000000,pidiejayakab,1,6166,ACEH,PIDIE JAYA
6397,1,KOTA BANDA ACEH,2,11,1171,117100,1171000000,bandaacehkota,1,6397,ACEH,KOTA BANDA ACEH
6497,1,KOTA SABANG,2,11,1172,117200,1172000000,sabangkota,1,6497,ACEH,KOTA SABANG
6518,1,KOTA LHOKSEUMAWE,2,11,1173,117300,1173000000,lhokseumawekota,1,6518,ACEH,KOTA LHOKSEUMAWE
6591,1,KOTA LANGSA,2,11,1174,117400,1174000000,langsakota,1,6591,ACEH,KOTA LANGSA
6648,1,KOTA SUBULUSSALAM,2,11,1175,117500,1175000000,subulussalamkota,1,6648,ACEH,KOTA SUBULUSSALAM
6729,6728,LABUHANBATU SELATAN,2,12,1222,122200,1222000000,labuanbatuselatankab,6728,6729,SUMATERA UTARA,LABUHANBATU SELATAN
6789,6728,LABUHANBATU UTARA,2,12,1223,122300,1223000000,labuanbatuutarakab,6728,6789,SUMATERA UTARA,LABUHANBATU UTARA
